title,description,created_at,deadline,category,priority
Watch Git basics video,"Understand init, add, commit, and push.",2025-07-01,2025-07-03,tech,low
Help brother with assignment,Review and suggest edits to report.,2025-07-05,2025-07-10,personal,medium
Finalize vacation budget,"Estimate travel, food, and stay costs.",2025-07-02,2025-07-13,travel,medium
Fix profile photo upload issue,Debug image validation logic.,2025-07-03,2025-07-06,project,high
Book dentist appointment,Annual teeth cleaning and checkup.,2025-07-01,2025-07-10,health,medium
Submit college fee,Pay July semester installment.,2025-07-02,2025-07-09,education,high
Order groceries online,Add essentials to Instamart cart.,2025-07-03,2025-07-04,home,low
Plan tech meetup agenda,List speakers and discussion topics.,2025-07-05,2025-07-15,community,medium
Clean email inbox,Delete old newsletters and spam.,2025-07-01,2025-07-05,personal,low
Test payment gateway,Ensure successful checkout with demo card.,2025-07-04,2025-07-06,project,high
Create intro video for online course,Edit and upload short introduction on course portal.,2025-07-04,2025-07-10,project,high
Update emergency contact info with employer,Log in to HR portal and enter latest details.,2025-07-03,2025-07-07,work,medium
Buy desk lamp for workspace,Choose LED with adjustable brightness.,2025-07-02,2025-07-06,home,low
Translate recipe instructions to English,Convert ingredients and steps clearly.,2025-07-03,2025-07-08,hobby,medium
Organize digital notes from workshop,Label and categorize by topic in app.,2025-07-04,2025-07-09,education,medium
Fix padding issue in blog layout,Edit CSS for better responsiveness.,2025-07-02,2025-07-05,tech,high
Get health insurance quotes,Compare plans with different coverage options.,2025-07-01,2025-07-11,finance,high
Reapply for lost PAN card,Submit photo and ID proof online.,2025-07-03,2025-07-12,finance,medium
Take friend to airport,Plan departure based on flight schedule.,2025-07-04,2025-07-05,personal,low
Create Spotify playlist for gym,Add 30 high-energy workout tracks.,2025-07-02,2025-07-04,personal,low
Test chatbot conversation flows,Simulate scenarios and refine responses.,2025-07-03,2025-07-08,tech,high
Upload final logo assets to Drive,Send PNG and SVG versions to team.,2025-07-02,2025-07-06,project,medium
Send invitation for team lunch,Book restaurant and add group to calendar.,2025-07-03,2025-07-05,work,low
Revise SOP draft for master's program,Improve grammar and remove repetitive content.,2025-07-01,2025-07-10,career,high
Set up calendar sync on mobile,Enable Google and work calendar integration.,2025-07-04,2025-07-06,tech,medium
Buy birthday cake and candles,Order chocolate truffle and accessories.,2025-07-01,2025-07-05,personal,low
Read news articles on global economy,Select 3 reputable sources each day.,2025-07-01,2025-07-15,personal,low
Download YouTube videos for offline course,Save tutorials for weekend trip.,2025-07-02,2025-07-04,education,low
Export monthly transaction history from bank,Download CSV for personal budget tracking.,2025-07-02,2025-07-06,finance,high
Check AC filters for cleaning,Wipe filters and reset indicator.,2025-07-04,2025-07-08,home,medium
Practice TypeScript interfaces and types,Review object typing using challenges.,2025-07-03,2025-07-10,tech,medium
Book movie tickets with friends,Pick preferred seats and confirm showtiming.,2025-07-01,2025-07-03,personal,low
Research scholarship options for MS abroad,Compare eligibility and funding coverage.,2025-07-02,2025-07-18,education,high
Respond to mentor feedback on prototype,List discussed changes and update UI.,2025-07-03,2025-07-07,project,high
Print poster for science exhibition,Use A3 sheets with color illustrations.,2025-07-01,2025-07-05,education,medium
Update shipping address in online store,Enter correct address for upcoming orders.,2025-07-02,2025-07-04,personal,medium
Check expiry dates on pantry items,Discard expired groceries and note reusables.,2025-07-03,2025-07-06,home,low
Fix scroll lag on single-page application,Improve performance with debounce functions.,2025-07-02,2025-07-09,tech,high
Submit photography contest entry,Choose best shot and provide title.,2025-07-01,2025-07-07,hobby,medium
Install app to track water intake,Set reminders for hydration goals.,2025-07-04,2025-07-05,health,low
Create wireframe for portfolio website,"Sketch landing, about, project sections.",2025-07-03,2025-07-10,project,medium
Repair door hinge in study room,Tighten bolts and align door.,2025-07-01,2025-07-06,home,low
Sign-up for weekend yoga workshop,Fill registration form and pay fee.,2025-07-02,2025-07-07,health,medium
Add contributors to GitHub repo,Assign roles and send invite link.,2025-07-01,2025-07-02,tech,high
Buy toys for animal shelter,Pick dog toys and cat treats.,2025-07-01,2025-07-10,community,low
Review SaaS platform accessibility issues,Aim for WCAG 2.1 compliance.,2025-07-02,2025-07-09,work,medium
Edit profile picture for resume,Use neutral background and crop to size.,2025-07-04,2025-07-06,career,high
Book table for date night,Choose rooftop restaurant with early reservation.,2025-07-02,2025-07-07,personal,medium
Research hiking routes in Himachal,"Check elevation, permits, and season.",2025-07-03,2025-07-15,travel,medium
Upload notes to shared drive,Organize folders by subject and week.,2025-07-01,2025-07-04,education,medium
Schedule story post for campaign,Write copy and add scheduled time.,2025-07-03,2025-07-05,project,medium
Buy drawing supplies for weekend class,"Get pencils, erasers, and sketch pad.",2025-07-02,2025-07-06,hobby,medium
Replace batteries in all remotes,Buy AAA and test each device.,2025-07-01,2025-07-05,home,low
Attend tech career fair,Bring updated resume and dress formally.,2025-07-04,2025-07-09,career,medium
Submit Google Form for alumni details,Fill out profession and location info.,2025-07-01,2025-07-03,education,low
Consult with mentor on skill development,Ask for tech pathway suggestions.,2025-07-03,2025-07-07,career,high
Update Trello board for design sprint,Move cards and assign tasks.,2025-07-02,2025-07-04,project,medium
Handle electricity bill payment,Pay via UPI to avoid late fees.,2025-07-01,2025-07-05,finance,high
Prepare annual income report,Collect receipts and fill yearly income spreadsheet.,2025-07-04,2025-07-18,finance,high
Read journal article on AI ethics,Take notes on key arguments and conclusions.,2025-07-05,2025-07-12,education,medium
Book hotel for workshop trip,Find nearby accommodation with free cancellation.,2025-07-06,2025-07-15,travel,medium
Deep clean bedroom closet,Sort clothes and donate unused items.,2025-07-04,2025-07-10,home,low
Submit LinkedIn job application,Customize resume and cover letter.,2025-07-07,2025-07-11,career,high
Fix navbar responsiveness bug,Debug mobile menu toggle and styling.,2025-07-05,2025-07-08,project,high
Join weekly yoga session,Attend Friday morning online class.,2025-07-01,2025-07-31,health,low
Transfer money to parents,Send fixed monthly amount via UPI.,2025-07-06,2025-07-07,finance,high
Design business card layout,Try minimal black and white design.,2025-07-03,2025-07-13,career,medium
Organize tech blog ideas,Create content calendar for next month.,2025-07-05,2025-07-20,tech,low
Update profile on job portal,Add latest project and tech stack.,2025-07-07,2025-07-09,career,medium
Buy waterproof phone pouch,For beach trip and monsoon protection.,2025-07-06,2025-07-14,travel,low
Record coding tutorial on strings,Explain basic string operations in Python.,2025-07-04,2025-07-18,hobby,medium
Check car tire alignment,Visit service center for wheel check.,2025-07-05,2025-07-12,personal,low
Write thank-you email to mentor,Express gratitude and mention key lessons.,2025-07-06,2025-07-10,personal,medium
Submit proposal for community event,Include budget and timeline.,2025-07-03,2025-07-15,community,high
Review unit test results,Check coverage and improve weak areas.,2025-07-04,2025-07-08,tech,high
Pay mobile phone bill,Recharge before service expires.,2025-07-01,2025-07-06,finance,medium
Clean bathroom tiles,Use vinegar and baking soda.,2025-07-07,2025-07-09,home,low
Draft LinkedIn article on internships,Summarize experience and lessons.,2025-07-04,2025-07-13,career,medium
Update college portal password,Change login credentials for security.,2025-07-05,2025-07-10,education,low
Download conference presentation slides,Save PDFs from official site.,2025-07-06,2025-07-08,education,medium
Fix app crash on startup,Investigate Android logs for bug.,2025-07-07,2025-07-10,project,high
Host family lunch,Decide menu and invite guests.,2025-07-03,2025-07-14,personal,medium
Register for hackathon,Create team and submit form.,2025-07-01,2025-07-09,tech,high
Submit leave request for trip,Email manager with proposed dates.,2025-07-04,2025-07-06,work,medium
Declutter bedside drawers,Remove unused items and sanitize.,2025-07-05,2025-07-11,home,low
Start 30-day language challenge,Practice Spanish for 15 minutes daily.,2025-07-01,2025-07-31,hobby,low
File reimbursement for workshop,Upload scanned bills and tickets.,2025-07-06,2025-07-15,work,medium
Design event registration form,"Include name, email, preferences.",2025-07-05,2025-07-12,project,medium
Help friend prepare resume,Review format and add bullet points.,2025-07-04,2025-07-09,career,low
Finalize team for group project,Confirm roles and responsibilities.,2025-07-03,2025-07-10,education,high
Book train for weekend trip,Choose AC coach and window seat.,2025-07-06,2025-07-14,travel,medium
Clean under kitchen sink,Remove expired cleaners and pests.,2025-07-07,2025-07-11,home,low
Draft UI for to-do app,"Include calendar, filter, and dark mode.",2025-07-04,2025-07-16,tech,high
Water terrace garden plants,Every alternate day before 9am.,2025-07-01,2025-07-31,personal,low
Design fundraising poster,Highlight cause and QR donation code.,2025-07-05,2025-07-15,community,medium
Buy flowers for parents' anniversary,Choose roses or lilies with vase.,2025-07-03,2025-07-06,personal,medium
Take database backup,Export SQL and cloud copy.,2025-07-04,2025-07-08,tech,medium
Attend interview prep webinar,Register for resume and HR tips.,2025-07-02,2025-07-05,career,medium
Pack suitcase for trek,"Include jacket, torch, and snacks.",2025-07-05,2025-07-09,travel,low
Create intro slide for seminar,"Add topic, name, and affiliation.",2025-07-06,2025-07-08,education,medium
Collect internship certificate,Email HR for digital copy.,2025-07-01,2025-07-07,career,high
Clean work desk and cables,Untangle wires and dust surface.,2025-07-03,2025-07-06,home,low
Update browser extensions,Remove unused and add password manager.,2025-07-04,2025-07-10,tech,low
Plan weekend gaming night,Invite friends and prepare snacks.,2025-07-05,2025-07-13,hobby,medium
Send newsletter to subscribers,Schedule campaign and proofread content.,2025-07-06,2025-07-07,project,high
Review exam schedule,Mark subjects and dates on calendar.,2025-07-03,2025-07-08,education,medium
Attend blood donation camp,Register and carry ID proof.,2025-07-05,2025-07-10,community,medium
Refill pet food container,Buy dry food and transfer to airtight bin.,2025-07-04,2025-07-06,home,low
Write newsletter content for July,Include 3 updates and community spotlight.,2025-07-02,2025-07-06,work,medium
Join Discord study group for coding,Accept invite and set availability.,2025-07-03,2025-07-08,education,low
Evaluate monthly health metrics,Check heart rate and sleep quality report.,2025-07-01,2025-07-05,health,medium
Design thank-you card for teacher,Print message and decorate by hand.,2025-07-04,2025-07-09,personal,low
Clean whiteboard and markers,Use cloth and replace dry ones.,2025-07-02,2025-07-03,home,low
Sort monthly receipts by category,"Label office, groceries, and transport bills.",2025-07-01,2025-07-07,finance,medium
Practice presenting research topic,Rehearse for 10 minutes each day.,2025-07-02,2025-07-10,education,high
Mark bills as reimbursed,Update spreadsheet and email accounts.,2025-07-02,2025-07-04,work,medium
Purchase yoga mat online,"Choose padded, non-slip variant.",2025-07-03,2025-07-06,health,low
Help mom update Aadhaar details,Book appointment and upload documents.,2025-07-04,2025-07-12,personal,medium
Create GitHub issue templates,Add bug report and feature request format.,2025-07-01,2025-07-05,project,high
Review CV with career counselor,Get feedback and update accordingly.,2025-07-03,2025-07-10,career,high
Polish shoes for formal event,Clean and apply leather polish.,2025-07-02,2025-07-04,home,low
Post code snippet on dev forum,Solve query with custom script.,2025-07-01,2025-07-03,tech,medium
Scan paper bills and upload backup,Organize in cloud under “Documents”.,2025-07-03,2025-07-08,finance,medium
Host community Discord Q&A,Prepare agenda and moderate session.,2025-07-02,2025-07-06,community,medium
Attend webinar on emotional intelligence,Block 60 minutes and take notes.,2025-07-03,2025-07-04,personal,low
Organize wardrobe by season,Pack sweaters and label boxes.,2025-07-01,2025-07-09,personal,medium
Book appointment with nutritionist,Check for availability on weekend.,2025-07-03,2025-07-10,health,medium
Update personal notes on investments,List SIPs and due dates.,2025-07-01,2025-07-14,finance,high
Watch tutorial on building REST API,Follow along and take notes.,2025-07-02,2025-07-07,tech,medium
Set up flashcard deck for German words,Add 20 new vocabulary terms.,2025-07-01,2025-07-05,education,low
Pack lunch for office week,Plan healthy meals for 5 days.,2025-07-04,2025-07-06,personal,low
Optimize images on blog,Compress JPGs and replace slow loaders.,2025-07-02,2025-07-05,project,medium
Call AC service guy for maintenance,Clean filter and check coolant.,2025-07-01,2025-07-06,home,medium
Check standing instruction for rent,Verify account automation in bank app.,2025-07-01,2025-07-03,finance,high
Write summary of weekly progress,Compile goals met and pending items.,2025-07-02,2025-07-04,work,medium
Submit PowerPoint deck for review,Add speaker notes and transitions.,2025-07-01,2025-07-05,work,high
Perform code cleanup and formatting,Run Prettier and remove unused imports.,2025-07-01,2025-07-03,tech,medium
Print and laminate ID badges,"Design, print names and get laminated.",2025-07-02,2025-07-07,community,medium
Bake cookies for local fundraiser,Prepare 2 dozen and pack neatly.,2025-07-02,2025-07-06,community,low
Prepare items for garage sale,Price old gadgets and label.,2025-07-03,2025-07-11,personal,low
Buy insurance for scooter,Compare yearly plans and submit KYC.,2025-07-01,2025-07-07,finance,medium
Write email to apartment manager,Log maintenance issue in lift.,2025-07-02,2025-07-04,home,low
Annotate PDF research papers,Highlight key terms and methodology.,2025-07-01,2025-07-08,education,medium
Install Ubuntu on old laptop,Back up files and create bootable USB.,2025-07-03,2025-07-06,tech,high
Get passport size photographs,Visit photo studio near post office.,2025-07-02,2025-07-05,personal,low
Practice sketching human anatomy,Draw poses using online references.,2025-07-01,2025-07-10,hobby,medium
Create proposal for freelance client,"Add timeline, cost, and deliverables.",2025-07-04,2025-07-07,career,high
Start 30-day journaling challenge,Write 5 minutes each morning.,2025-07-01,2025-07-31,personal,low
Attend Azadi Ka Amrit Mahotsav event,Join flag hoisting and cultural show.,2025-07-03,2025-07-05,community,low
Compile outlines for training video,Add scene points and duration.,2025-07-02,2025-07-06,project,medium
Scan handwritten notes and convert to PDF,Use mobile scanner app.,2025-07-01,2025-07-04,education,medium
Buy external webcam for meetings,Check resolution and sound quality.,2025-07-02,2025-07-09,work,medium
Final sign-off on invoice approvals,Verify amounts and client details.,2025-07-04,2025-07-07,finance,high
Send Diwali invites to family,Choose design and email PDF copies.,2025-07-03,2025-07-08,personal,low
Calibrate fitness tracker metrics,Align with health app on phone.,2025-07-02,2025-07-06,health,low
Test website for screen reader access,Ensure all elements have alt tags.,2025-07-01,2025-07-07,tech,medium
Join virtual community cleanup campaign,Sign up and complete neighborhood checklist.,2025-07-02,2025-07-05,community,low
Create LinkedIn content strategy,Plan engagement posts for each week.,2025-07-04,2025-07-07,career,high
Restock household cleaning supplies,"Buy mop refills, detergent and sprays.",2025-07-02,2025-07-06,home,low
Plan solo trip to Pondicherry,Book hostel and local tour.,2025-07-01,2025-07-15,travel,medium
Fix layout issues in resume PDF,Align icons and text padding.,2025-07-04,2025-07-06,career,medium
Update LinkedIn profile,Revise work experience and skills on LinkedIn for better visibility.,2025-07-01,2025-07-19,career,medium
Water indoor plants,Ensure all indoor plants are adequately watered to maintain their health.,2025-07-15,2025-07-16,home,low
Submit tax documents,Collect receipts and statements for income tax filing before due date.,2025-06-30,2025-07-15,finance,high
Review project proposal,Read and provide feedback on the new product launch proposal.,2025-07-02,2025-07-10,work,high
Order groceries online,"Restock weekly essentials like fruits, milk, and bread through online delivery.",2025-07-12,2025-07-14,home,medium
Renew gym membership,Contact gym to renew your annual membership before expiration.,2025-07-03,2025-07-18,health,medium
Practice guitar for concert,Allocate one hour daily for guitar practice before the upcoming concert.,2025-07-05,2025-07-30,hobby,high
Research vacation destinations,Compare hotels and activities for proposed family trip in August.,2025-07-06,2025-07-15,travel,medium
Prepare monthly newsletter,Write and proofread July's community newsletter for distribution.,2025-07-01,2025-07-12,community,high
Finalize new laptop purchase,Research models and decide on a budget-friendly laptop upgrade.,2025-07-10,2025-07-25,tech,medium
Organize closet,Sort through old clothes and set aside donations for local charity.,2025-06-29,2025-07-13,home,low
Pay electricity bill,Check and pay the latest utility bill to avoid late fees.,2025-07-04,2025-07-10,finance,high
Plan team-building activity,Arrange an engaging virtual event for remote team members.,2025-07-09,2025-07-24,work,medium
Attend online coding workshop,Register and join the advanced Python programming workshop.,2025-07-07,2025-07-22,education,medium
Get car serviced,Book an appointment at the auto shop for routine maintenance.,2025-07-08,2025-07-20,personal,medium
Write thank you notes,Send handwritten thank you cards to friends for birthday gifts.,2025-07-10,2025-07-17,personal,low
Update household budget,Review spending and adjust budget for the upcoming quarter.,2025-07-11,2025-07-20,finance,medium
Call mom for weekly check-in,Spend time chatting with mom and updating her on your week.,2025-07-06,2025-07-06,personal,low
Install security updates,Update all home devices and computers with the latest security patches.,2025-07-04,2025-07-10,tech,high
Publish blog article,Write and publish a post on current tech trends.,2025-07-03,2025-07-12,hobby,medium
Prepare for annual review,Collect accomplishments and set goals for the upcoming performance review.,2025-07-13,2025-07-24,career,high
Book annual eye exam,Contact Dr. Singh's office to schedule a yearly vision checkup.,2025-07-09,2025-07-25,health,medium
Review quarterly investment reports,Analyze mutual fund performance and make adjustments as necessary.,2025-06-30,2025-07-12,finance,medium
Reschedule plumber visit,Call the plumber to confirm a new visit date for kitchen repairs.,2025-07-05,2025-07-15,home,low
Update project timeline,Align deliverables and adjust milestones for the website redesign project.,2025-07-07,2025-07-14,project,high
Organize team meeting,Set agenda and share invites for next week's team sync-up.,2025-07-11,2025-07-15,work,medium
Refill prescription medication,Contact the pharmacy for renewal and timely delivery of medications.,2025-07-08,2025-07-14,health,high
Clean out email inbox,Unsubscribe from unnecessary lists and organize folders for efficiency.,2025-07-01,2025-07-18,personal,low
Back up important files,Save essential files to the cloud for added security.,2025-07-02,2025-07-09,tech,medium
Register for online course,Enroll in a part-time digital marketing certificate program.,2025-07-03,2025-07-14,education,medium
Prepare birthday party invitation,Design and send out invitations for Sam's birthday celebration.,2025-07-10,2025-07-17,personal,medium
Host neighborhood clean-up,Coordinate volunteers and needed supplies for tidy-up event.,2025-07-04,2025-07-20,community,high
Vacuum living room,Deep clean carpets and floors in the main living area.,2025-07-05,2025-07-05,home,low
Check passport validity,Ensure passport is current before booking international flights.,2025-07-12,2025-07-21,travel,high
Scan and archive old photos,Digitize photo albums and upload to cloud for safekeeping.,2025-07-09,2025-07-26,personal,low
Participate in weekend 5K race,Complete registration and prepare gear for the community marathon.,2025-07-13,2025-07-21,health,medium
Renew book club subscription,Re-subscribe to monthly book deliveries and update address.,2025-07-08,2025-07-18,hobby,low
Update mobile plan,Research and switch to a better and more affordable data plan.,2025-07-06,2025-07-20,tech,medium
Wash windows and blinds,Clean all windows and dust off blinds in the apartment.,2025-07-03,2025-07-19,home,low
Research scholarship opportunities,Look for and shortlist potential scholarships for fall semester.,2025-07-02,2025-07-16,education,high
Bake cupcakes for bake sale,Prepare and decorate cupcakes for next week's charity sale.,2025-07-05,2025-07-13,community,medium
Organize online photo albums,Sort vacation pictures and create digital albums for sharing.,2025-07-07,2025-07-21,personal,low
Arrange painting supplies,"Order brushes, paints, and canvases for weekend art project.",2025-07-12,2025-07-17,hobby,medium
Draft project status update,Write project progress summary and email to all stakeholders.,2025-07-01,2025-07-08,project,high
Pay credit card bill,Ensure payment of outstanding balance before billing cycle ends.,2025-07-10,2025-07-15,finance,high
Schedule pet vaccination,Book vet clinic appointment for annual pet immunizations.,2025-07-08,2025-07-22,personal,medium
Set up new WiFi router,Install and configure new wireless router for better internet speed.,2025-07-13,2025-07-20,tech,medium
Check air conditioner filters,Inspect and clean or replace AC filters for optimal efficiency.,2025-07-06,2025-07-13,home,medium
Sync work calendar,Update all meetings and deadlines on digital calendar for easy tracking.,2025-07-08,2025-07-12,work,medium
Complete quarterly expense audit,Review department expenses and submit audit report for Q2.,2025-07-17,2025-07-31,work,high
Arrange weekend hiking trip,Plan the route and coordinate gear rentals for group hike.,2025-07-17,2025-07-24,travel,medium
Update emergency contact list,Verify all contact details and provide updates to HR team.,2025-07-17,2025-07-21,work,low
Renew apartment lease,Read terms and sign renewal documents with landlord.,2025-07-17,2025-08-01,home,high
Schedule cholesterol screening,Book a fasting cholesterol test at the health center.,2025-07-17,2025-07-28,health,medium
Submit college application,Finalize documents and complete online submission for university.,2025-07-17,2025-07-30,education,high
Organize digital receipts,Sort and save important digital receipts for expense tracking.,2025-07-17,2025-07-22,finance,medium
Practice Spanish vocabulary,Review 20 new words daily using language app.,2025-07-17,2025-08-10,education,low
Plan family movie night,Pick a film and arrange snacks for weekend home screening.,2025-07-17,2025-07-20,personal,low
Clean refrigerator,Remove expired items and sanitize all shelves.,2025-07-17,2025-07-18,home,medium
Buy birthday gift for Anna,Select and purchase a thoughtful present for Anna's special day.,2025-07-17,2025-07-19,personal,medium
Update work portfolio,Compile recent work samples and update design portfolio.,2025-07-17,2025-07-27,career,medium
Fix leaky kitchen faucet,Schedule plumber to repair ongoing kitchen faucet leak.,2025-07-17,2025-07-21,home,high
Research new mutual funds,Compare performance of new funds for possible investment.,2025-07-17,2025-07-26,finance,medium
Volunteer at food bank,Sign up for a three-hour community volunteering shift.,2025-07-17,2025-07-25,community,low
Seek feedback on presentation,Share slides and collect feedback from teammates.,2025-07-17,2025-07-19,work,high
Refresh professional headshot,Book appointment for updated business profile photo.,2025-07-17,2025-07-30,career,medium
Dust bookshelves,Remove and clean all books and shelf surfaces.,2025-07-17,2025-07-20,home,low
Pay water bill,Settle the current month's utility bill to avoid penalties.,2025-07-17,2025-07-21,finance,high
Refill first aid kit,Check contents and restock essential medical supplies.,2025-07-17,2025-07-25,home,medium
Set monthly savings goal,Define a savings amount and schedule recurring transfers.,2025-07-17,2025-07-31,finance,medium
Test home smoke detectors,Inspect and replace batteries in all smoke alarms.,2025-07-17,2025-08-01,home,high
Train for half-marathon,Begin week-by-week training plan for upcoming race.,2025-07-17,2025-10-05,health,high
Update CV and cover letter,Customize CV and write targeted cover letter for job application.,2025-07-17,2025-07-28,career,high
Organize garden tools,Clean and arrange tools in garage for easy access.,2025-07-17,2025-07-22,home,low
Mail wedding RSVP,Fill out and send response card for friend's wedding.,2025-07-17,2025-07-19,personal,medium
Upgrade phone operating system,Install latest OS version for phone security and features.,2025-07-17,2025-07-21,tech,medium
Arrange IT equipment return,Contact office to return unused tech devices.,2025-07-17,2025-07-24,work,medium
Read latest novel release,Finish reading newly released novel by favorite author.,2025-07-17,2025-07-29,hobby,low
Book annual flu vaccine,Scheduler appointment at local clinic for flu vaccination.,2025-07-17,2025-09-07,health,high
Send invoices to clients,Prepare and email invoices for completed design projects.,2025-07-17,2025-07-21,finance,high
Order school uniforms,Choose and order uniforms for children's new school year.,2025-07-17,2025-08-10,personal,medium
Plant new succulents,Choose and plant succulents for balcony garden.,2025-07-17,2025-07-22,hobby,low
Draft community event flyer,Design promotional flyer for local charity event.,2025-07-17,2025-07-23,community,medium
Reset forgotten passwords,Update and securely store passwords for all accounts.,2025-07-17,2025-07-19,tech,high
Organize family photo session,Book photographer for an outdoor family picture day.,2025-07-17,2025-08-02,personal,medium
Negotiate insurance premium,Review and negotiate lower home insurance premium.,2025-07-17,2025-07-30,finance,medium
Refinish old dresser,Sand and repaint the dresser for bedroom upgrade.,2025-07-17,2025-07-31,home,medium
Review learning goals,Check progress toward annual learning milestones.,2025-07-17,2025-07-24,education,medium
Install new light fixtures,Purchase and replace outdated living room lights.,2025-07-17,2025-07-23,home,medium
Subscribe to science magazine,Sign up for annual publication delivery.,2025-07-17,2025-07-31,hobby,low
Set up two-factor authentication,Enable extra security for all major digital accounts.,2025-07-17,2025-07-19,tech,high
Conduct monthly budget review,Analyze monthly spending and savings goals.,2025-07-17,2025-07-20,finance,high
Plan virtual book discussion,Pick date and send invites for online club meeting.,2025-07-17,2025-07-27,community,medium
Schedule home cleaning service,Book cleaners for a full apartment deep-clean.,2025-07-17,2025-07-23,home,medium
Sign up for pottery class,Register for community pottery workshop next month.,2025-07-17,2025-08-03,hobby,medium
Prep work anniversary celebration,Arrange office party and appreciation lunch for colleagues.,2025-07-17,2025-07-24,work,low
Research car insurance options,Compare rates and policies from major insurers.,2025-07-17,2025-07-31,finance,medium
Deliver recycling to center,"Sort paper, plastics, and drop off at recycling center.",2025-07-17,2025-07-19,home,low
Prepare scholarship essay,Write and edit a strong essay for scholarship application.,2025-07-17,2025-07-27,education,high
Check tire pressure,Inspect and inflate car tires for safe travel.,2025-07-17,2025-07-20,personal,low
Prepare performance review packet,Gather data and achievements for upcoming performance discussion.,2025-07-17,2025-07-24,work,high
Schedule annual medical checkup,Book appointment for yearly health screening with family doctor.,2025-07-17,2025-08-03,health,high
Register for online webinar,Sign up for next week's professional development webinar.,2025-07-17,2025-07-22,career,medium
Create backup of family videos,Transfer home videos from phone to external hard drive.,2025-07-17,2025-07-25,personal,medium
Submit midterm assignment,Finish and upload midterm assignment to course portal.,2025-07-17,2025-07-29,education,high
Update project documentation,Edit and upload most recent changes to project documents.,2025-07-17,2025-07-20,project,high
Schedule parent-teacher conference,Contact school to arrange meeting with child's teacher.,2025-07-17,2025-07-28,personal,medium
Rearrange living room furniture,Plan and shift furniture for a new living room layout.,2025-07-17,2025-07-20,home,low
Buy office supplies,"Order printer paper, pens, and sticky notes for home office.",2025-07-17,2025-07-21,work,medium
Research college majors,Look up career prospects for different college majors of interest.,2025-07-17,2025-08-05,education,medium
Book hotel for business trip,Reserve room for upcoming conference trip in Bangalore.,2025-07-17,2025-07-23,work,high
Replace shower curtain,Purchase and install a new shower curtain in bathroom.,2025-07-17,2025-07-19,home,low
Join local community Facebook group,Connect with neighbors by joining community group online.,2025-07-17,2025-07-18,community,low
Update pet microchip info,Contact vet to update pet contact info on microchip registry.,2025-07-17,2025-07-31,personal,medium
Review insurance policy documents,Read through and understand details of car and health insurance policies.,2025-07-17,2025-07-24,finance,medium
Record podcast episode,Write script and record this week's podcast for editing.,2025-07-17,2025-07-19,hobby,medium
Donate unused kitchen items,Sort and drop off extra appliances at local shelter.,2025-07-17,2025-07-26,community,low
Clean up desktop icons,Organize and delete cluttered files from computer desktop.,2025-07-17,2025-07-20,tech,low
Check flight prices for holidays,Monitor airfare for December holiday travel.,2025-07-17,2025-07-23,travel,medium
Write letter to pen pal,Compose and send update letter to overseas pen pal.,2025-07-17,2025-07-21,personal,low
Update landlord contact info,Verify and add landlord's new phone number to contacts list.,2025-07-17,2025-07-18,home,low
Renew library card,Visit nearest branch or go online to renew library account.,2025-07-17,2025-07-30,hobby,medium
Complete cybersecurity training,Finish required company training module on digital security.,2025-07-17,2025-07-27,work,medium
Assemble new bookshelf,Build and set up newly purchased bookshelf for study room.,2025-07-17,2025-07-22,home,medium
Clean out shed,Sort and declutter storage shed for easier access to tools.,2025-07-17,2025-07-26,home,low
Purchase travel insurance,Select and buy comprehensive policy before international trip.,2025-07-17,2025-07-27,travel,high
Plan weekend BBQ,"Organize menu, shopping, and guest list for BBQ event.",2025-07-17,2025-07-24,personal,medium
Resubmit expense forms,Correct and resubmit reimbursement forms to finance department.,2025-07-17,2025-07-20,work,high
Make monthly charitable donation,Select charity and process monthly donation online.,2025-07-17,2025-07-22,finance,medium
Join mindfulness meditation class,Register for upcoming online mindfulness workshop.,2025-07-17,2025-08-04,health,medium
Apply for professional association,Fill out application to join industry professional body.,2025-07-17,2025-07-24,career,medium
Research electric vehicle options,Compare electric car models for potential purchase.,2025-07-17,2025-07-29,tech,medium
Tune bicycle gears,Adjust gears and clean chain before weekend ride.,2025-07-17,2025-07-19,personal,low
Book cooking class for two,Register for weekend Italian cooking course.,2025-07-17,2025-07-25,hobby,medium
Deep clean bathroom tiles,Use cleaning solution to remove buildup and mildew.,2025-07-17,2025-07-21,home,medium
Check academic transcript status,Contact university about status of official transcript.,2025-07-17,2025-07-28,education,high
Write testimonial for freelancer,Provide feedback and testimonial for completed freelance work.,2025-07-17,2025-07-20,work,low
Print resume copies,Print copies of resume for upcoming job fair.,2025-07-17,2025-07-27,career,high
Review tenant lease agreement,Confirm rules and maintenance duties with new tenant.,2025-07-17,2025-07-24,home,medium
Follow up on job application,Email HR for update regarding recent job submission.,2025-07-17,2025-07-20,career,high
Set up recurring bill payments,Automate phone and utility bill payments to avoid late fees.,2025-07-17,2025-07-21,finance,high
Create emergency supply kit,"Assemble essentials like water, food, and flashlight for emergencies.",2025-07-17,2025-08-05,home,medium
Renew antivirus subscription,Update and renew computer antivirus software.,2025-07-17,2025-07-20,tech,high
Create meal prep plan,Outline weekly meals and prepare grocery list.,2025-07-17,2025-07-21,home,medium
Sign up for CPR class,Register for local first aid and CPR certification.,2025-07-17,2025-08-15,health,medium
